OBJECTID,point,X,Y
480,1,114.1428539,30.39558151
481,1,114.1428532,30.39558081
482,1,114.1428525,30.39558012
483,1,114.1428518,30.39557942
484,1,114.1428511,30.39557872
485,1,114.1428504,30.39557802
486,1,114.1428496,30.39557732
487,1,114.1428489,30.39557662
488,1,114.1428482,30.39557592
489,1,114.1428475,30.39557523
490,1,114.1428468,30.39557453
491,1,114.1428461,30.39557383
492,1,114.1428453,30.39557313
493,1,114.1428446,30.39557243
494,1,114.1428439,30.39557173
495,1,114.1428432,30.39557104
496,1,114.1428425,30.39557034
497,1,114.1428418,30.39556964
498,1,114.1428411,30.39556894
499,1,114.1428403,30.39556824
500,1,114.1428396,30.39556754
501,1,114.1428389,30.39556685
502,1,114.1428382,30.39556615
503,1,114.1428375,30.39556545
504,1,114.1428368,30.39556475
505,1,114.142836,30.39556405
506,1,114.1428353,30.39556335
507,1,114.1428346,30.39556265
508,1,114.1428339,30.39556196
509,1,114.1428332,30.39556126
510,1,114.1428325,30.39556056
511,1,114.1428317,30.39555986
512,1,114.142831,30.39555916
513,1,114.1428303,30.39555846
514,1,114.1428296,30.39555777
515,1,114.1428289,30.39555707
516,1,114.1428282,30.39555637
517,1,114.1428275,30.39555567
518,1,114.1428267,30.39555497
519,1,114.142826,30.39555427
520,1,114.1428253,30.39555357
521,1,114.1428246,30.39555288
522,1,114.1428239,30.39555218
523,1,114.1428232,30.39555148
524,1,114.1428224,30.39555078
525,1,114.1428217,30.39555008
526,1,114.142821,30.39554938
527,1,114.1428203,30.39554869
528,1,114.1428196,30.39554799
529,1,114.1428189,30.39554729
530,1,114.1428182,30.39554659
531,1,114.1428174,30.39554589
532,1,114.1428167,30.39554519
533,1,114.142816,30.3955445
534,1,114.1428153,30.3955438
535,1,114.1428146,30.3955431
536,1,114.1428139,30.3955424
537,1,114.1428131,30.3955417
538,1,114.1428124,30.395541
539,1,114.1428117,30.3955403
540,1,114.142811,30.39553961
541,1,114.1428103,30.39553891
542,1,114.1428096,30.39553821
